Feature,Contribution
X8 <= 34.88,0.013135177918254925
7.52 < X11 <= 248.80,-0.00659256659553422
1.18 < X3 <= 7.89,-0.0064742978463395336
3.25 < X7 <= 22.72,-0.004736659854705382
185.60 < X9 <= 1039.80,-0.0041796442728882
63.09 < X13 <= 342.11,-0.00416172483245382
8.75 < X14 <= 43.02,-0.003232345417039197
37.28 < X10 <= 212.68,-0.0032301655907216206
18.84 < X1 <= 100.00,0.0031191454323922754
1.62 < X6 <= 39.94,-0.002438227379491865
167.77 < X18 <= 871.07,-0.002302763758530987
103.45 < X2 <= 633.10,-0.002294592207499943
year > 2012.00,-0.0021285358580972976
81.75 < X17 <= 628.35,-0.0021022996221704364
185.60 < X16 <= 1039.80,-0.001978220916247864
