Feature,Feature_Value,SHAP_Value
year,2018.0,-0.06883670998431606
X8,17.505,0.022916583961658715
X6,5.923,-0.01380154861735196
X1,65.666,-0.008748537662509359
X3,6.048,-0.008416339383643895
X12,10.8,-0.008143511718736509
X4,16.848,-0.00721751649344247
X10,141.524,-0.006238956828419666
X17,102.075,-0.005869181873514263
X7,13.84,0.005826157152635563
X13,74.199,-0.0048729050038925125
X9,199.633,-0.004658747351639978
X11,64.235,-0.0030319292694407462
X16,199.633,0.0018627726350907133
X15,-22.654,0.0012296213929078698
X18,182.785,-0.0008630257124589525
X5,46.526,-0.0006712851652023056
X14,37.261,-0.0005267313533771804
X2,125.434,-0.00018432291773304603
