year,X4,X6,X8,X9,X11,X12,X13,X15,X16
1999,89.031,35.163,372.7519,1024.333,180.447,70.658,191.226,201.026,1024.333
2000,64.367,18.531,377.118,874.255,179.987,45.79,160.444,204.065,874.255
2001,27.207,-58.939,364.5928,638.721,217.699,4.711,112.244,139.603,638.721
2002,30.745,-12.41,143.3295,606.337,164.658,3.573,109.59,124.106,606.337
2003,47.491,3.504,308.9071,651.958,248.666,20.811,128.656,131.884,651.958
2004,61.774,15.453,522.6794,747.848,227.159,33.824,149.676,142.45,747.848
2005,91.877,35.163,882.6283,897.284,318.576,62.655,193.203,183.55,897.284
2006,118.907,58.66,1226.1925,1061.169,253.611,86.708,223.998,242.153,1061.169
2007,168.522,75.144,747.5434,1384.919,507.918,128.57,304.024,318.184,1384.919
2008,166.08,78.651,571.5948,1423.976,392.984,125.529,313.299,385.851,1423.976
2009,134.345,44.628,777.8348,1352.151,336.191,95.415,286.249,389.641,1352.151
2010,196.312,69.826,1049.8206,1775.782,329.802,137.016,367.711,467.485,1775.782
2011,222.693,67.723,485.2897,2074.498,669.489,142.36,412.09,486.582,2074.498
2012,245.2,55.0,790.0029,2167.1,622.2,136.6,452.6,542.4,2167.1
2013,256.0,72.9,961.308,2035.0,564.3,142.6,453.6,616.7,2035.0
2014,83.7,10.2,1046.3954,1594.3,85.0,-8.6,251.6,603.9,1594.3
2015,136.9,47.7,842.5112,1662.6,136.1,66.1,307.7,637.2,1662.6
2016,148.2,56.5,1200.3288,1767.6,155.3,77.2,344.9,688.0,1767.6
2017,126.5,15.6,1551.458,1748.3,177.2,86.0,335.1,701.2,1748.3
1999,413.739,87.635,7161.3749,1926.947,11.024,311.649,996.805,827.489,1926.947
2000,670.1,868.1,16465.1625,3287.9,16.5,523.9,1720.8,1843.8,3287.9
2001,-55.6,-1287.7,3603.6,2402.8,3.0,-253.4,918.6,495.6,2402.8
2002,-192.4,-1145.0,1263.368,1047.7,10.8,-297.1,370.1,-688.0,1047.7
2003,19.9,-76.7,2072.962,773.2,400.0,-39.3,350.6,-771.2,773.2
2004,78.2,16.4,1790.321,784.3,400.0,36.5,343.6,-747.1,784.3
2005,159.0,110.7,2032.925,1169.2,400.0,91.8,488.1,-648.5,1169.2
2006,140.4,65.7,1677.132,1281.9,400.0,72.6,480.8,-567.4,1281.9
2007,167.9,106.3,2199.12,1322.2,200.6,100.7,494.7,-448.2,1322.2
2008,173.3,-41.9,705.642,1456.4,650.7,90.9,585.7,-505.6,1456.4
2009,84.7,-474.3,805.644,996.7,651.0,18.3,396.2,-979.3,996.7
2010,121.4,62.0,1231.524,1156.6,650.8,59.9,479.4,-918.4,1156.6
1999,-0.265,-2.207,3.2449,29.37,5.974,-0.932,9.574,-6.375,29.37
2000,0.672,-0.808,4.5428,25.367,4.875,-0.028,8.861,-7.184,25.367
2001,0.381,-1.738,2.9667,24.051,3.873,-0.38,8.351,-8.922,24.051
